customerID,Churn_Probability,Risk_Category
7495-OOKFY,75.0,High Risk
4667-QONEA,0.0,Low Risk
1658-BYGOY,96.0,High Risk
8769-KKTPH,0.0,Low Risk
5067-XJQFU,0.0,Low Risk
3957-SQXML,2.0,Low Risk
5954-BDFSG,0.0,Low Risk
0434-CSFON,2.0,Low Risk
1215-FIGMP,1.0,Low Risk
0526-SXDJP,0.0,Low Risk
0557-ASKVU,7.000000000000001,Low Risk
5698-BQJOH,81.0,High Risk
5122-CYFXA,35.0,Medium Risk
8627-ZYGSZ,36.0,Medium Risk
3410-YOQBQ,0.0,Low Risk
3170-NMYVV,1.0,Low Risk
7410-OIEDU,19.0,Low Risk
2273-QCKXA,52.0,Medium Risk
0731-EBJQB,9.0,Low Risk
1891-QRQSA,0.0,Low Risk
8028-PNXHQ,0.0,Low Risk
5630-AHZIL,23.0,Low Risk
2673-CXQEU,1.0,Low Risk
6416-JNVRK,11.0,Low Risk
5590-ZSKRV,9.0,Low Risk
0191-ZHSKZ,5.0,Low Risk
3887-PBQAO,6.0,Low Risk
5919-TMRGD,92.0,High Risk
8108-UXRQN,22.0,Low Risk
9191-MYQKX,65.0,High Risk
9919-YLNNG,1.0,Low Risk
0318-ZOPWS,1.0,Low Risk
4445-ZJNMU,79.0,High Risk
4808-YNLEU,2.0,Low Risk
1862-QRWPE,1.0,Low Risk
2796-NNUFI,2.0,Low Risk
3016-KSVCP,23.0,Low Risk
4767-HZZHQ,7.000000000000001,Low Risk
2424-WVHPL,71.0,High Risk
7233-PAHHL,0.0,Low Risk
6067-NGCEU,0.0,Low Risk
9848-JQJTX,0.0,Low Risk
8637-XJIVR,46.0,Medium Risk
9803-FTJCG,0.0,Low Risk
0278-YXOOG,24.0,Low Risk
3212-KXOCR,3.0,Low Risk
4598-XLKNJ,92.0,High Risk
6380-ARCEH,52.0,Medium Risk
3679-XASPY,35.0,Medium Risk
7123-WQUHX,1.0,Low Risk
5386-THSLQ,1.0,Low Risk
3192-NQECA,97.0,High Risk
6180-YBIQI,38.0,Medium Risk
6728-DKUCO,0.0,Low Risk
9750-BOOHV,3.0,Low Risk
8597-CWYHH,1.0,Low Risk
2848-YXSMW,0.0,Low Risk
0486-HECZI,97.0,High Risk
4549-ZDQYY,1.0,Low Risk
5712-AHQNN,1.0,Low Risk
4846-WHAFZ,85.0,High Risk
5256-SKJGO,0.0,Low Risk
3071-VBYPO,18.0,Low Risk
9560-BBZXK,4.0,Low Risk
5299-RULOA,99.0,High Risk
8402-OOOHJ,1.0,Low Risk
9445-ZUEQE,36.0,Medium Risk
1091-SOZGA,1.0,Low Risk
2928-HLDBA,11.0,Low Risk
0404-SWRVG,76.0,High Risk
6497-TILVL,13.0,Low Risk
7219-TLZHO,20.0,Low Risk
4622-YNKIJ,1.0,Low Risk
4412-YLTKF,39.0,Medium Risk
6734-PSBAW,0.0,Low Risk
3930-ZGWVE,34.0,Medium Risk
2639-UGMAZ,1.0,Low Risk
2876-GZYZC,77.0,High Risk
6207-WIOLX,79.0,High Risk
8587-XYZSF,0.0,Low Risk
3091-FYHKI,90.0,High Risk
2372-HWUHI,54.0,Medium Risk
7799-LGRDP,4.0,Low Risk
7850-VWJUU,19.0,Low Risk
3774-VBNXY,0.0,Low Risk
6217-KDYWC,4.0,Low Risk
0390-DCFDQ,90.0,High Risk
3146-MSEGF,0.0,Low Risk
4080-OGPJL,40.0,Medium Risk
1095-WGNGG,0.0,Low Risk
2636-SJDOU,2.0,Low Risk
1131-QQZEB,0.0,Low Risk
5716-EZXZN,0.0,Low Risk
6837-BJYDQ,10.0,Low Risk
2135-RXIHG,74.0,High Risk
6440-DKQGE,1.0,Low Risk
3466-BYAVD,8.0,Low Risk
3780-YVMFA,27.0,Low Risk
3874-EQOEP,84.0,High Risk
1679-JRFBR,0.0,Low Risk
9073-ZZIAY,0.0,Low Risk
3077-RSNTJ,23.0,Low Risk
6551-GNYDG,54.0,Medium Risk
9167-APMXZ,47.0,Medium Risk
2749-CTKAJ,1.0,Low Risk
6371-NZYEG,1.0,Low Risk
7554-NEWDD,3.0,Low Risk
8992-VONJD,13.0,Low Risk
0867-MKZVY,55.00000000000001,Medium Risk
4482-EWFMI,72.0,High Risk
4648-YPBTM,1.0,Low Risk
2907-ILJBN,3.0,Low Risk
6345-FZOQH,0.0,Low Risk
3376-BMGFE,75.0,High Risk
5997-OPVFA,0.0,Low Risk
3445-HXXGF,96.0,High Risk
1159-WFSGR,25.0,Low Risk
7654-YWJUF,3.0,Low Risk
1875-QIVME,87.0,High Risk
6727-IOTLZ,1.0,Low Risk
0691-JVSYA,97.0,High Risk
5918-VUKWP,3.0,Low Risk
1744-JHKYS,12.0,Low Risk
2656-FMOKZ,75.0,High Risk
2070-FNEXE,40.0,Medium Risk
5947-SGKCL,25.0,Low Risk
3712-PKXZA,2.0,Low Risk
6317-YPKDH,56.99999999999999,Medium Risk
6582-OIVSP,64.0,High Risk
9367-WXLCH,81.0,High Risk
5524-KHNJP,1.0,Low Risk
1918-ZBFQJ,97.0,High Risk
1024-GUALD,78.0,High Risk
4827-USJHP,7.000000000000001,Low Risk
8167-GJLRN,51.0,Medium Risk
0956-SYCWG,4.0,Low Risk
8017-UVSZU,10.0,Low Risk
7100-FQPRV,3.0,Low Risk
2472-OVKUP,67.0,High Risk
2984-RGEYA,0.0,Low Risk
9680-NIAUV,0.0,Low Risk
2146-EGVDT,1.0,Low Risk
2604-IJPDU,8.0,Low Risk
9178-JHUVJ,3.0,Low Risk
6168-YBYNP,1.0,Low Risk
7255-SSFBC,0.0,Low Risk
3645-DEYGF,54.0,Medium Risk
9323-HGFWY,3.0,Low Risk
8544-GOQSH,39.0,Medium Risk
3363-DTIVD,0.0,Low Risk
7018-WBJNK,39.0,Medium Risk
9142-KZXOP,18.0,Low Risk
7674-YTAFD,9.0,Low Risk
6348-SNFUS,0.0,Low Risk
1285-OKIPP,93.0,High Risk
7825-ECJRF,84.0,High Risk
1347-KTTTA,0.0,Low Risk
7841-TZDMQ,65.0,High Risk
4195-NZGTA,57.99999999999999,Medium Risk
7157-SMCFK,2.0,Low Risk
4709-LKHYG,2.0,Low Risk
2504-DSHIH,42.0,Medium Risk
0699-NDKJM,4.0,Low Risk
9286-BHDQG,0.0,Low Risk
0230-WEQUW,0.0,Low Risk
2040-LDIWQ,0.0,Low Risk
6496-JDSSB,67.0,High Risk
9408-SSNVZ,73.0,High Risk
4443-EMBNA,0.0,Low Risk
6469-MRVET,40.0,Medium Risk
0742-MOABM,56.00000000000001,Medium Risk
5961-VUSRV,7.000000000000001,Low Risk
6778-JFCMK,3.0,Low Risk
6341-JVQGF,1.0,Low Risk
2232-DMLXU,73.0,High Risk
4811-JBUVU,10.0,Low Risk
0945-TSONX,0.0,Low Risk
2651-ZCBXV,1.0,Low Risk
3316-UWXUY,0.0,Low Risk
8937-RDTHP,98.0,High Risk
7083-MIOPC,0.0,Low Risk
1984-GPTEH,19.0,Low Risk
1251-KRREG,57.99999999999999,Medium Risk
0621-JFHOL,6.0,Low Risk
9903-LYSAB,54.0,Medium Risk
0094-OIFMO,66.0,High Risk
9227-UAQFT,2.0,Low Risk
7301-ABVAD,0.0,Low Risk
6614-FHDBO,0.0,Low Risk
7576-ASEJU,16.0,Low Risk
9058-HRZSV,0.0,Low Risk
4522-AKYLR,16.0,Low Risk
0221-WMXNQ,46.0,Medium Risk
0303-UNCIP,2.0,Low Risk
9947-OTFQU,71.0,High Risk
0322-YINQP,37.0,Medium Risk
0959-WHOKV,0.0,Low Risk
4075-JFPGR,0.0,Low Risk
4629-NRXKX,74.0,High Risk
9514-JDSKI,81.0,High Risk
3282-ZISZV,1.0,Low Risk
3675-YDUPJ,28.000000000000004,Low Risk
4111-BNXIF,0.0,Low Risk
7017-VFHAY,0.0,Low Risk
6655-LHBYW,0.0,Low Risk
4959-JOSRX,73.0,High Risk
5046-NUHWD,11.0,Low Risk
7273-TEFQD,89.0,High Risk
3606-TWKGI,99.0,High Risk
7529-ZDFXI,1.0,Low Risk
7605-BDWDC,1.0,Low Risk
1950-KSVVJ,0.0,Low Risk
0123-CRBRT,0.0,Low Risk
6292-TOSSS,2.0,Low Risk
3197-ARFOY,15.0,Low Risk
6323-AYBRX,15.0,Low Risk
7014-ZZXAW,0.0,Low Risk
4385-GZQXV,98.0,High Risk
7633-MVPUY,1.0,Low Risk
6366-ZGQGL,65.0,High Risk
4716-HHKQH,7.000000000000001,Low Risk
5940-AHUHD,83.0,High Risk
6432-TWQLB,86.0,High Risk
4484-GLZOU,99.0,High Risk
3179-GBRWV,8.0,Low Risk
8645-KWHJO,20.0,Low Risk
4130-MZLCC,28.999999999999996,Low Risk
0314-TKOSI,7.000000000000001,Low Risk
8229-MYEJZ,9.0,Low Risk
2080-SRCDE,34.0,Medium Risk
9577-WJVCQ,1.0,Low Risk
9512-UIBFX,95.0,High Risk
6202-DYYFX,21.0,Low Risk
3808-HFKDE,34.0,Medium Risk
5583-SXDAG,85.0,High Risk
3488-PGMQJ,57.99999999999999,Medium Risk
3580-REOAC,36.0,Medium Risk
7534-BFESC,70.0,High Risk
3727-OWVYD,0.0,Low Risk
2294-SALNE,2.0,Low Risk
4847-TAJYI,63.0,High Risk
1563-IWQEX,13.0,Low Risk
8203-XJZRC,52.0,Medium Risk
6556-DBKZF,2.0,Low Risk
6851-WEFYX,3.0,Low Risk
2985-JUUBZ,4.0,Low Risk
6390-DSAZX,73.0,High Risk
0895-LMRSF,8.0,Low Risk
8098-LLAZX,92.0,High Risk
8266-VBFQL,60.0,Medium Risk
8181-YHCMF,0.0,Low Risk
2240-HSJQD,15.0,Low Risk
1248-DYXUB,1.0,Low Risk
0265-EDXBD,72.0,High Risk
4115-BNPJY,1.0,Low Risk
3167-SNQPL,85.0,High Risk
4091-TVOCN,1.0,Low Risk
1098-TDVUQ,39.0,Medium Risk
7277-OZCGZ,8.0,Low Risk
1557-EMYVT,0.0,Low Risk
2799-ARNLO,68.0,High Risk
7563-BIUPC,76.0,High Risk
5027-YOCXN,0.0,Low Risk
3973-SKMLN,0.0,Low Risk
2321-OMBXY,90.0,High Risk
2840-XANRC,95.0,High Risk
6745-JEFZB,4.0,Low Risk
5020-ZSTTY,96.0,High Risk
9880-TDQAC,0.0,Low Risk
8705-WZCYL,62.0,High Risk
7102-JJVTX,4.0,Low Risk
8626-PTQGE,0.0,Low Risk
4983-CLMLV,1.0,Low Risk
5701-YVSVF,56.99999999999999,Medium Risk
5804-LEPIM,75.0,High Risk
5697-GOMBF,46.0,Medium Risk
2739-CACDQ,37.0,Medium Risk
9385-EHGDO,3.0,Low Risk
9498-FIMXL,7.000000000000001,Low Risk
2379-GYFLQ,0.0,Low Risk
0122-OAHPZ,65.0,High Risk
2868-SNELZ,79.0,High Risk
4322-RCYMT,94.0,High Risk
6680-NENYN,92.0,High Risk
2088-IEBAU,0.0,Low Risk
7982-VCELR,2.0,Low Risk
1343-EHPYB,52.0,Medium Risk
6035-BXTTY,6.0,Low Risk
6885-PKOAM,0.0,Low Risk
7520-HQWJU,0.0,Low Risk
9639-BUJXT,1.0,Low Risk
5924-SNGKP,2.0,Low Risk
0021-IKXGC,79.0,High Risk
2034-GDRCN,99.0,High Risk
8966-SNIZF,1.0,Low Risk
6243-OZGFH,34.0,Medium Risk
4654-DLAMQ,0.0,Low Risk
0513-RBGPE,1.0,Low Risk
5160-UXJED,8.0,Low Risk
4115-NZRKS,60.0,Medium Risk
0219-YTZUE,89.0,High Risk
0623-IIHUG,86.0,High Risk
4572-DVCGN,69.0,High Risk
3351-NGXYI,37.0,Medium Risk
8984-EYLLL,0.0,Low Risk
9057-MSWCO,53.0,Medium Risk
9833-TGFHX,1.0,Low Risk
9294-TDIPC,10.0,Low Risk
5229-DTFYB,0.0,Low Risk
0104-PPXDV,1.0,Low Risk
5176-LMJXE,2.0,Low Risk
3583-KRKMD,23.0,Low Risk
1010-DIAUQ,76.0,High Risk
9069-LGEUL,13.0,Low Risk
7302-ZHMHP,28.000000000000004,Low Risk
9571-EDEBV,0.0,Low Risk
3520-FJGCV,0.0,Low Risk
6563-VRERX,2.0,Low Risk
0259-GBZSH,90.0,High Risk
6122-EFVKN,2.0,Low Risk
2805-EDJPQ,0.0,Low Risk
6862-CQUMB,1.0,Low Risk
7156-MXBJE,1.0,Low Risk
6158-HDPXZ,56.99999999999999,Medium Risk
9601-BRXPO,96.0,High Risk
2863-IMQDR,0.0,Low Risk
5686-CMAWK,9.0,Low Risk
5651-CRHKQ,2.0,Low Risk
6905-NIQIN,43.0,Medium Risk
8204-YJCLA,0.0,Low Risk
5167-ZFFMM,91.0,High Risk
6583-SZVGP,1.0,Low Risk
4895-TMWIR,47.0,Medium Risk
0533-BNWKF,93.0,High Risk
1708-PBBOA,1.0,Low Risk
8782-LKFPK,1.0,Low Risk
5522-JBWMO,46.0,Medium Risk
3597-MVHJT,11.0,Low Risk
9774-NRNAU,2.0,Low Risk
0224-RLWWD,68.0,High Risk
9967-ATRFS,6.0,Low Risk
3951-NJCVI,2.0,Low Risk
2977-CEBSX,0.0,Low Risk
0177-PXBAT,2.0,Low Risk
6599-CEBNN,64.0,High Risk
2519-ERQOJ,4.0,Low Risk
5876-QMYLD,1.0,Low Risk
2277-AXSDC,1.0,Low Risk
9442-JTWDL,3.0,Low Risk
0979-PHULV,98.0,High Risk
3067-SVMTC,0.0,Low Risk
5495-GPSRW,1.0,Low Risk
7606-BPHHN,0.0,Low Risk
4742-DRORA,0.0,Low Risk
0111-KLBQG,3.0,Low Risk
4800-VHZKI,43.0,Medium Risk
7989-CHGTL,47.0,Medium Risk
0334-GDDSO,88.0,High Risk
4163-NCJAK,9.0,Low Risk
5233-AOZUF,59.0,Medium Risk
5973-EJGDP,2.0,Low Risk
1996-DBMUS,38.0,Medium Risk
7916-VCCPB,33.0,Medium Risk
4686-GEFRM,0.0,Low Risk
5249-QYHEX,2.0,Low Risk
0578-SKVMF,98.0,High Risk
5564-NEMQO,91.0,High Risk
2233-FAGXV,36.0,Medium Risk
5605-IYGFG,48.0,Medium Risk
7663-ZTEGJ,1.0,Low Risk
3935-TBRZZ,2.0,Low Risk
8111-BKVDS,9.0,Low Risk
2055-SIFSS,12.0,Low Risk
2806-MLNTI,0.0,Low Risk
8734-DKSTZ,76.0,High Risk
4360-PNRQB,43.0,Medium Risk
6152-ONASV,1.0,Low Risk
9063-ZGTUY,22.0,Low Risk
7781-HVGMK,0.0,Low Risk
2181-UAESM,40.0,Medium Risk
2957-LOLHO,33.0,Medium Risk
6048-NJXHX,2.0,Low Risk
2320-SLKMB,12.0,Low Risk
4980-URKXC,2.0,Low Risk
4376-KFVRS,0.0,Low Risk
5886-VLQVU,10.0,Low Risk
3577-AMVUX,71.0,High Risk
0771-WLCLA,20.0,Low Risk
5628-RKIFK,2.0,Low Risk
0206-TBWLC,0.0,Low Risk
2937-FTHUR,87.0,High Risk
1910-FMXJM,47.0,Medium Risk
7752-XUSCI,99.0,High Risk
4110-PFEUZ,91.0,High Risk
0732-OCQOC,3.0,Low Risk
5168-MSWXT,43.0,Medium Risk
1090-ESELR,0.0,Low Risk
8592-PLTMQ,2.0,Low Risk
5760-WRAHC,5.0,Low Risk
8847-GEOOQ,1.0,Low Risk
0256-LTHVJ,59.0,Medium Risk
4785-FCIFB,1.0,Low Risk
8313-NDOIA,6.0,Low Risk
5149-CUZUJ,1.0,Low Risk
0942-KOWSM,1.0,Low Risk
4237-CLSMM,20.0,Low Risk
1452-VOQCH,88.0,High Risk
4719-UMSIY,11.0,Low Risk
6614-VBEGU,6.0,Low Risk
0880-TKATG,90.0,High Risk
3811-VBYBZ,91.0,High Risk
1480-BKXGA,33.0,Medium Risk
2996-XAUVF,0.0,Low Risk
9076-AXYIK,0.0,Low Risk
5968-XQIVE,1.0,Low Risk
8896-RAZCR,1.0,Low Risk
4640-UHDOS,38.0,Medium Risk
4933-IKULF,2.0,Low Risk
3583-EKAPL,76.0,High Risk
1304-BCCFO,33.0,Medium Risk
4104-PVRPS,6.0,Low Risk
9399-APLBT,82.0,High Risk
2359-KMGLI,66.0,High Risk
3780-DDGSE,5.0,Low Risk
4431-EDMIQ,19.0,Low Risk
0306-JAELE,71.0,High Risk
6227-HWPWX,34.0,Medium Risk
0486-LGCCH,2.0,Low Risk
0447-BEMNG,95.0,High Risk
4612-SSVHJ,42.0,Medium Risk
5168-MQQCA,0.0,Low Risk
5949-XIKAE,98.0,High Risk
7971-HLVXI,1.0,Low Risk
9094-AZPHK,74.0,High Risk
3649-JPUGY,1.0,Low Risk
4472-LVYGI,3.0,Low Risk
8372-JUXUI,85.0,High Risk
3552-CTCYF,0.0,Low Risk
6778-YSNIH,45.0,Medium Risk
0388-EOPEX,54.0,Medium Risk
5756-OZRIO,1.0,Low Risk
6579-JPICP,52.0,Medium Risk
8205-OTCHB,39.0,Medium Risk
4134-BSXLX,2.0,Low Risk
0505-SPOOW,0.0,Low Risk
6235-VDHOM,56.99999999999999,Medium Risk
7783-YKGDV,99.0,High Risk
4374-YMUSQ,0.0,Low Risk
4513-CXYIX,1.0,Low Risk
3957-HHLMR,1.0,Low Risk
7803-XOCCZ,7.000000000000001,Low Risk
5736-YEJAX,0.0,Low Risk
5609-CEBID,99.0,High Risk
8981-FJGLA,30.0,Medium Risk
7218-HKQFK,98.0,High Risk
4636-QRJKY,74.0,High Risk
1135-LMECX,28.000000000000004,Low Risk
4332-MUOEZ,2.0,Low Risk
8535-SFUTN,0.0,Low Risk
5956-VKDTT,78.0,High Risk
8677-HDZEE,1.0,Low Risk
2475-MROZF,2.0,Low Risk
9412-GHEEC,98.0,High Risk
3482-ABPKK,1.0,Low Risk
6705-LXORM,65.0,High Risk
0257-ZESQC,33.0,Medium Risk
7531-GQHME,9.0,Low Risk
5174-ITUMV,0.0,Low Risk
4109-CYRBD,18.0,Low Risk
0913-XWSCN,31.0,Medium Risk
6825-UYPFK,49.0,Medium Risk
8397-MVTAZ,99.0,High Risk
0750-EBAIU,1.0,Low Risk
8606-CIQUL,0.0,Low Risk
3571-DPYUH,0.0,Low Risk
7601-GNDYK,1.0,Low Risk
0356-OBMAC,0.0,Low Risk
8067-NIOYM,2.0,Low Risk
1403-GYAFU,4.0,Low Risk
4234-XTNEA,86.0,High Risk
1297-VQDRP,0.0,Low Risk
9282-IZGQK,93.0,High Risk
5348-CAGXB,30.0,Medium Risk
0621-HJWXJ,7.000000000000001,Low Risk
5844-QVTAT,1.0,Low Risk
8905-IAZPF,0.0,Low Risk
5394-MEITZ,0.0,Low Risk
6859-QNXIQ,0.0,Low Risk
2782-LFZVW,21.0,Low Risk
2866-IKBTM,28.000000000000004,Low Risk
1342-JPNKI,76.0,High Risk
2817-NTQDO,93.0,High Risk
7129-AZJDE,15.0,Low Risk
6986-IJDHX,93.0,High Risk
2560-PPCHE,1.0,Low Risk
4676-MQUEA,33.0,Medium Risk
8138-EALND,28.999999999999996,Low Risk
3580-HYCSP,0.0,Low Risk
1352-HNSAW,2.0,Low Risk
2075-PUEPR,4.0,Low Risk
1982-FEBTD,4.0,Low Risk
5301-GAUUY,62.0,High Risk
5791-KAJFD,1.0,Low Risk
2654-VBVPB,26.0,Low Risk
1154-HYWWO,1.0,Low Risk
2501-XWWTZ,44.0,Medium Risk
3716-UVSPD,45.0,Medium Risk
6815-ABQFQ,1.0,Low Risk
7343-EOBEU,28.999999999999996,Low Risk
3701-SFMUH,13.0,Low Risk
6103-LIANB,0.0,Low Risk
7319-VENRZ,18.0,Low Risk
5846-NEQVZ,0.0,Low Risk
6967-QIQRV,9.0,Low Risk
5781-RFZRP,0.0,Low Risk
0939-YAPAF,99.0,High Risk
0308-IVGOK,5.0,Low Risk
7293-LSCDV,1.0,Low Risk
7025-WCBNE,1.0,Low Risk
5756-JYOJT,8.0,Low Risk
4710-FDUIZ,97.0,High Risk
6030-REHUX,3.0,Low Risk
9548-LIGTA,0.0,Low Risk
5150-LJNSR,1.0,Low Risk
8270-RKSAP,56.99999999999999,Medium Risk
6522-YRBXD,2.0,Low Risk
2640-LYMOV,28.000000000000004,Low Risk
1218-VKFPE,31.0,Medium Risk
3627-FHKBK,80.0,High Risk
2865-TCHJW,88.0,High Risk
1423-BMPBQ,47.0,Medium Risk
2393-DIVAI,18.0,Low Risk
5192-EBGOV,94.0,High Risk
4568-KNYWR,1.0,Low Risk
8752-IMQOS,5.0,Low Risk
0742-LAFQK,0.0,Low Risk
0795-LAFGP,0.0,Low Risk
0619-OLYUR,0.0,Low Risk
5512-IDZEI,9.0,Low Risk
0459-SPZHJ,0.0,Low Risk
0215-BQKGS,3.0,Low Risk
9244-ZVAPM,63.0,High Risk
0719-SYFRB,92.0,High Risk
8208-EUMTE,1.0,Low Risk
5172-MIGPM,28.000000000000004,Low Risk
1710-RCXUS,1.0,Low Risk
0374-FIUCA,0.0,Low Risk
5839-SUYVZ,34.0,Medium Risk
5173-ZXXXL,9.0,Low Risk
1096-ADRUX,8.0,Low Risk
2001-MCUUW,0.0,Low Risk
2731-GJRDG,1.0,Low Risk
4723-BEGSG,0.0,Low Risk
6516-NKQBO,0.0,Low Risk
8672-OAUPW,4.0,Low Risk
8207-DMRVL,0.0,Low Risk
3419-SNJJD,98.0,High Risk
6543-CPZMK,59.0,Medium Risk
4765-OXPPD,8.0,Low Risk
2804-ETQDK,1.0,Low Risk
6689-VRRTK,0.0,Low Risk
7138-GIRSH,1.0,Low Risk
9396-ZSFLL,24.0,Low Risk
6464-KEXXH,38.0,Medium Risk
7134-MJPDY,0.0,Low Risk
5240-CAOYT,1.0,Low Risk
4059-IIEBK,67.0,High Risk
4881-JVQOD,51.0,Medium Risk
0516-UXRMT,0.0,Low Risk
4851-BQDNX,13.0,Low Risk
5148-HKFIR,1.0,Low Risk
1009-IRMNA,27.0,Low Risk
3003-CMDUU,5.0,Low Risk
5016-IBERQ,14.000000000000002,Low Risk
6797-UCJHZ,0.0,Low Risk
2469-DTSGX,0.0,Low Risk
4554-YGZIH,82.0,High Risk
5099-BAILX,98.0,High Risk
9931-KGHOA,6.0,Low Risk
1775-KWJKQ,0.0,Low Risk
7665-VIGUD,3.0,Low Risk
9411-TPQQV,1.0,Low Risk
7207-RMRDB,99.0,High Risk
7954-MLBUN,7.000000000000001,Low Risk
2077-DDHJK,0.0,Low Risk
4913-EHYUI,96.0,High Risk
0195-IESCP,87.0,High Risk
9574-BOSMD,0.0,Low Risk
4580-TMHJU,45.0,Medium Risk
0970-ETWGE,99.0,High Risk
4908-XAXAY,1.0,Low Risk
8404-VLQFB,30.0,Medium Risk
1626-ERCMM,96.0,High Risk
0887-HJGAR,70.0,High Risk
2391-IPLOP,5.0,Low Risk
5644-PDMZC,77.0,High Risk
3509-GWQGF,17.0,Low Risk
9576-ANLXO,71.0,High Risk
2024-BASKD,87.0,High Risk
5845-BZZIB,1.0,Low Risk
1140-UKVZG,16.0,Low Risk
4160-AMJTL,47.0,Medium Risk
5183-SNMJQ,32.0,Medium Risk
8100-PNJMH,0.0,Low Risk
7838-LAZFO,0.0,Low Risk
4464-JCOLN,15.0,Low Risk
2085-JVGAD,9.0,Low Risk
5650-VDUDS,56.99999999999999,Medium Risk
8095-WANWK,31.0,Medium Risk
3030-ZKIWL,52.0,Medium Risk
9565-FLVCG,0.0,Low Risk
8755-OGKNA,2.0,Low Risk
2800-VEQXM,55.00000000000001,Medium Risk
7538-GWHML,72.0,High Risk
5533-RJFTJ,9.0,Low Risk
3859-CVCET,50.0,Medium Risk
0214-JHPFW,0.0,Low Risk
5642-MHDQT,15.0,Low Risk
3088-FVYWK,8.0,Low Risk
3276-HDUEG,88.0,High Risk
9092-GDZKO,11.0,Low Risk
0823-HSCDJ,99.0,High Risk
3729-OWRVL,0.0,Low Risk
2324-AALNO,6.0,Low Risk
0822-GAVAP,90.0,High Risk
5760-IFJOZ,49.0,Medium Risk
2826-UWHIS,10.0,Low Risk
1448-PWKYE,93.0,High Risk
7501-IWUNG,0.0,Low Risk
4957-TREIR,17.0,Low Risk
7251-LJBQN,1.0,Low Risk
8040-MNRTF,77.0,High Risk
1536-HBSWP,63.0,High Risk
5313-FPXWG,4.0,Low Risk
0067-DKWBL,72.0,High Risk
0946-FKYTX,2.0,Low Risk
5076-YVXCM,27.0,Low Risk
8262-COGGB,57.99999999999999,Medium Risk
6663-JOCQO,2.0,Low Risk
9620-QJREV,4.0,Low Risk
2276-YDAVZ,83.0,High Risk
2682-KEVRP,1.0,Low Risk
2480-JZOSN,43.0,Medium Risk
0078-XZMHT,0.0,Low Risk
5896-NPFWW,82.0,High Risk
9978-HYCIN,6.0,Low Risk
8338-QIUNR,0.0,Low Risk
1525-LNLOJ,0.0,Low Risk
9450-TRJUU,63.0,High Risk
1766-GKNMI,56.99999999999999,Medium Risk
6942-LBFDP,15.0,Low Risk
1456-TWCGB,25.0,Low Risk
7133-VBDCG,65.0,High Risk
7596-ZYWBB,2.0,Low Risk
8329-UTMVM,3.0,Low Risk
3014-WJKSM,12.0,Low Risk
3347-YJZZE,2.0,Low Risk
1029-QFBEN,34.0,Medium Risk
7929-DMBCV,10.0,Low Risk
9661-JALZV,2.0,Low Risk
5433-KYGHE,28.000000000000004,Low Risk
4312-KFRXN,0.0,Low Risk
5575-TPIZQ,1.0,Low Risk
0114-IGABW,0.0,Low Risk
9944-AEXBM,66.0,High Risk
1853-ARAAQ,6.0,Low Risk
6952-OMNWB,8.0,Low Risk
4697-LUPSU,10.0,Low Risk
8434-VGEQQ,0.0,Low Risk
4952-YSOGZ,89.0,High Risk
1589-AGTLK,69.0,High Risk
5244-IRFIH,92.0,High Risk
6549-YMFAW,24.0,Low Risk
4950-HKQTE,1.0,Low Risk
6786-OBWQR,75.0,High Risk
